source,column,rows,duplicate_full_rows,null_count,null_rate_pct,unique_non_null,is_candidate_join_key,unique_ratio_pct,whitespace_defects,casing_defects,malformed_values,min_date,max_date,malformed_names,missing_identifier_count,duplicate_ids
intro_requests.csv,request_id,200,0,0,0.0,200,True,100.0,0,200,,,,,,0
intro_requests.csv,requested_by,200,0,0,0.0,8,False,4.0,0,0,,,,0,,
intro_requests.csv,requester_role,200,0,0,0.0,8,False,4.0,0,24,,,,,,
intro_requests.csv,request_date,200,0,0,0.0,156,False,78.0,0,0,0,2025-08-02,2026-07-26,,,
intro_requests.csv,raw_ask,200,0,0,0.0,194,False,97.0,0,0,,,,,,
intro_requests.csv,target_company_raw,200,0,43,21.5,52,False,33.1,0,0,,,,,,
intro_requests.csv,target_person_raw,200,0,154,77.0,46,False,100.0,0,0,,,,0,,
intro_requests.csv,target_title_raw,200,0,0,0.0,12,False,6.0,0,0,,,,,,
intro_requests.csv,deal_value_usd,200,0,0,0.0,7,False,3.5,0,0,,,,,,
intro_requests.csv,urgency,200,0,0,0.0,4,False,2.0,0,0,,,,,,
intro_requests.csv,path_found_flag,200,0,61,30.5,3,False,2.2,0,0,,,,,,
intro_requests.csv,status,200,0,0,0.0,5,False,2.5,0,0,,,,,,
intro_outcomes.csv,request_id,85,0,0,0.0,85,True,100.0,0,85,,,,,,0
intro_outcomes.csv,connector_asked,85,0,0,0.0,11,True,12.9,0,0,,,,0,,
intro_outcomes.csv,asked_date,85,0,0,0.0,79,False,92.9,0,0,0,2025-08-05,2026-07-25,,,
intro_outcomes.csv,responded,85,0,0,0.0,2,False,2.4,0,0,,,,,,
intro_outcomes.csv,response_date,85,0,30,35.3,52,False,94.5,0,0,0,2025-08-17,2026-08-05,,,
intro_outcomes.csv,intro_sent,85,0,0,0.0,2,False,2.4,0,0,,,,,,
intro_outcomes.csv,intro_date,85,0,53,62.4,31,False,96.9,0,0,0,2025-08-31,2026-08-10,,,
intro_outcomes.csv,meeting_booked,85,0,0,0.0,2,False,2.4,0,0,,,,,,
intro_outcomes.csv,opportunity_created,85,0,0,0.0,2,False,2.4,0,0,,,,,,
intro_outcomes.csv,opportunity_value_usd,85,0,78,91.8,5,False,71.4,0,0,,,,,,
crm_accounts.csv,account_id,50,0,0,0.0,50,True,100.0,0,50,,,,,,0
crm_accounts.csv,account_name,50,0,0,0.0,50,False,100.0,0,2,,,,0,,
crm_accounts.csv,domain,50,0,0,0.0,44,True,88.0,0,50,,,,,0,
